[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (2): 
	- 
	- index.html

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /favicon.ico              --> github.com/gin-gonic/gin.(*RouterGroup).StaticFile.func1 (3 handlers)
[GIN-debug] HEAD   /favicon.ico              --> github.com/gin-gonic/gin.(*RouterGroup).StaticFile.func1 (3 handlers)
[GIN-debug] GET    /ping                     --> github.com/wennmu/gowe-admin.git/src/router.Init.func1 (4 handlers)
[GIN-debug] POST   /login                    --> github.com/wennmu/gowe-admin.git/pkg/e.ErrorWrapper.func1 (4 handlers)
[GIN-debug] GET    /admin/index              --> github.com/wennmu/gowe-admin.git/src/controllor.Index (4 handlers)
[GIN-debug] GET    /admin/info               --> github.com/wennmu/gowe-admin.git/pkg/e.ErrorWrapper.func1 (5 handlers)
[GIN-debug] POST   /admin/logout             --> github.com/wennmu/gowe-admin.git/pkg/e.ErrorWrapper.func1 (5 handlers)
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/05/20 - 14:26:35 | 200 |      4.9745ms |             ::1 | POST     "/login"
[GIN] 2021/05/20 - 14:26:35 | 200 |            0s |             ::1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzgzOTUsInVpZCI6MX0.iCLvOZnVDojCX7UdVhser_WtyQUqdzr5iTygKHvGPaM"
[GIN] 2021/05/20 - 14:26:39 | 200 |       995.4µs |             ::1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzgzOTUsInVpZCI6MX0.iCLvOZnVDojCX7UdVhser_WtyQUqdzr5iTygKHvGPaM"
[GIN] 2021/05/20 - 14:26:39 | 404 |            0s |             ::1 | GET      "/?imageView2/1/w/80/h/80"
[GIN] 2021/05/20 - 14:26:40 | 200 |            0s |             ::1 | POST     "/login"
[GIN] 2021/05/20 - 14:26:40 | 200 |            0s |             ::1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1Nzg0MDAsInVpZCI6MX0.u1oWiv0Jbqp6Wnv98tS4LhDGiGc4IwfPJC0_zvcd1pg"
[GIN] 2021/05/20 - 14:26:49 | 200 |            0s |             ::1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1Nzg0MDAsInVpZCI6MX0.u1oWiv0Jbqp6Wnv98tS4LhDGiGc4IwfPJC0_zvcd1pg"
[GIN] 2021/05/20 - 14:26:49 | 404 |            0s |             ::1 | GET      "/?imageView2/1/w/80/h/80"
[GIN] 2021/05/20 - 14:26:50 | 200 |            0s |             ::1 | POST     "/login"
[GIN] 2021/05/20 - 14:26:50 | 200 |      1.0017ms |             ::1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1Nzg0MTAsInVpZCI6MX0.Mb8_YUfUe8zHTxFg04Xzr8K8uRBCcWH5RhxdEy-RFjU"
[GIN] 2021/05/20 - 14:26:54 | 404 |            0s |             ::1 | GET      "/"
[GIN] 2021/05/20 - 14:27:01 | 404 |            0s |             ::1 | GET      "/"
[GIN] 2021/05/20 - 14:27:08 | 404 |            0s |             ::1 | GET      "/"
[GIN] 2021/05/20 - 14:27:20 | 404 |            0s |             ::1 | GET      "/"
[GIN] 2021/05/20 - 14:28:16 | 200 |       998.9µs |       127.0.0.1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1Nzg0MTAsInVpZCI6MX0.Mb8_YUfUe8zHTxFg04Xzr8K8uRBCcWH5RhxdEy-RFjU"
[GIN] 2021/05/20 - 14:28:22 | 200 |            0s |       127.0.0.1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1Nzg0MTAsInVpZCI6MX0.Mb8_YUfUe8zHTxFg04Xzr8K8uRBCcWH5RhxdEy-RFjU"
[GIN] 2021/05/20 - 14:28:35 | 200 |    4.9526186s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:28:45 | 200 |    4.6919388s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:28:52 | 200 |    5.0319974s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:29:32 | 200 |    5.0205587s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:30:34 | 200 |    4.7153097s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:30:45 | 200 |    5.0149006s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:30:50 | 200 |    4.7025997s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:31:22 | 200 |         2m59s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:33:50 | 200 |    4.6950671s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:40:50 | 200 |      1.0014ms |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:40:50 | 200 |            0s |       127.0.0.1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyNTAsInVpZCI6MX0.3IZWOQXmC5777OacC5GnaxwbhKZ-rWA-4JsqqYN_kJ4"
[GIN] 2021/05/20 - 14:41:31 | 200 |       998.6µs |       127.0.0.1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyNTAsInVpZCI6MX0.3IZWOQXmC5777OacC5GnaxwbhKZ-rWA-4JsqqYN_kJ4"
[GIN] 2021/05/20 - 14:41:33 | 200 |            0s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:41:33 | 200 |            0s |       127.0.0.1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyOTMsInVpZCI6MX0.L66KV-Tc2q_Nqc-xxcjKqwInwf2n_Yanu4Zh5-0qkec"
[GIN] 2021/05/20 - 14:41:38 | 200 |            0s |       127.0.0.1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyOTMsInVpZCI6MX0.L66KV-Tc2q_Nqc-xxcjKqwInwf2n_Yanu4Zh5-0qkec"
[GIN] 2021/05/20 - 14:41:39 | 200 |            0s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:41:39 | 200 |       997.4µs |       127.0.0.1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyOTksInVpZCI6MX0.O1xKj64lrQc3ILOqNgXqET2RNo43yPygcB7PRsGyHnU"
[GIN] 2021/05/20 - 14:41:42 | 200 |            0s |       127.0.0.1 | POST     "/admin/logout?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkyOTksInVpZCI6MX0.O1xKj64lrQc3ILOqNgXqET2RNo43yPygcB7PRsGyHnU"
[GIN] 2021/05/20 - 14:41:43 | 200 |            0s |       127.0.0.1 | POST     "/login"
[GIN] 2021/05/20 - 14:41:43 | 200 |      2.9942ms |       127.0.0.1 | GET      "/admin/info?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhdXRob3JpemVkIjp0cnVlLCJleHAiOjE2MjE1NzkzMDMsInVpZCI6MX0.FSu5OpGiv8ZfjqKgVpmEWWGIicPwx_0oR__zhh4TSUE"
